Day Index,Sessions
2020-09-15,2166
2020-09-16,2023
2020-09-17,2057
2020-09-18,1747
2020-09-19,1044
2020-09-20,1200
2020-09-21,2128
2020-09-22,2053
2020-09-23,1978
2020-09-24,1932
2020-09-25,2007
2020-09-26,1259
2020-09-27,1388
2020-09-28,2183
2020-09-29,2463
2020-09-30,2828
2020-10-01,2396
2020-10-02,1877
2020-10-03,1195
2020-10-04,1353
2020-10-05,2422
2020-10-06,2607
2020-10-07,2499
2020-10-08,2405
2020-10-09,2281
2020-10-10,1284
2020-10-11,1427
2020-10-12,2331
2020-10-13,2312
2020-10-14,2322
2020-10-15,2096
2020-10-16,2020
2020-10-17,1488
2020-10-18,1538
2020-10-19,2774
2020-10-20,2856
2020-10-21,2931
2020-10-22,2652
2020-10-23,2456
2020-10-24,1720
2020-10-25,1840
2020-10-26,3027
2020-10-27,3073
2020-10-28,3082
2020-10-29,2982
2020-10-30,2702
2020-10-31,1599
2020-11-01,1702
2020-11-02,2820
2020-11-03,2923
2020-11-04,2819
2020-11-05,2701
2020-11-06,2373
2020-11-07,1490
2020-11-08,1475
2020-11-09,2463
2020-11-10,2691
2020-11-11,2334
2020-11-12,2372
2020-11-13,2127
2020-11-14,1336
2020-11-15,1480
2020-11-16,2708
2020-11-17,2711
2020-11-18,2631
2020-11-19,2685
2020-11-20,2625
2020-11-21,1677
2020-11-22,1805
2020-11-23,2703
2020-11-24,3068
2020-11-25,2757
2020-11-26,2342
2020-11-27,2651
2020-11-28,1868
2020-11-29,2076
2020-11-30,3412
2020-12-01,3221
2020-12-02,3453
2020-12-03,3256
2020-12-04,3141
2020-12-05,2072
2020-12-06,2363
2020-12-07,3929
2020-12-08,4147
2020-12-09,3831
2020-12-10,3791
2020-12-11,3250
2020-12-12,2104
2020-12-13,2214
2020-12-14,3512
2020-12-15,3462
2020-12-16,3257
2020-12-17,3265
2020-12-18,2507
2020-12-19,1907
2020-12-20,1856
2020-12-21,2505
2020-12-22,2269
2020-12-23,1907
2020-12-24,1346
2020-12-25,1266
2020-12-26,1343
2020-12-27,1485
2020-12-28,1852
2020-12-29,1830
2020-12-30,1677
2020-12-31,1091
2021-01-01,1181
2021-01-02,1430
2021-01-03,1440
2021-01-04,1865
2021-01-05,2615
2021-01-06,2659
2021-01-07,2292
2021-01-08,2122
2021-01-09,1439
2021-01-10,1493
2021-01-11,2440
2021-01-12,2456
2021-01-13,2325
2021-01-14,2329
2021-01-15,2023
2021-01-16,1410
2021-01-17,1572
2021-01-18,1957
2021-01-19,2817
2021-01-20,2884
2021-01-21,2699
2021-01-22,2506
2021-01-23,1724
2021-01-24,1943
2021-01-25,2713
2021-01-26,2601
2021-01-27,2978
2021-01-28,2562
2021-01-29,2317
2021-01-30,1632
2021-01-31,1787
2021-02-01,2718
2021-02-02,2999
2021-02-03,3048
2021-02-04,2678
2021-02-05,2413
2021-02-06,1533
2021-02-07,1625
2021-02-08,2576
2021-02-09,2428
2021-02-10,2612
2021-02-11,2350
2021-02-12,1948
2021-02-13,1441
2021-02-14,1486
2021-02-15,1917
2021-02-16,2438
2021-02-17,2710
2021-02-18,2624
2021-02-19,2176
2021-02-20,1467
2021-02-21,1590
2021-02-22,2448
2021-02-23,2513
2021-02-24,2581
2021-02-25,2712
2021-02-26,2372
2021-02-27,3784
2021-02-28,2356
2021-03-01,3372
2021-03-02,3743
2021-03-03,3284
2021-03-04,2806
2021-03-05,2353
2021-03-06,1730
2021-03-07,1914
2021-03-08,2603
2021-03-09,2717
2021-03-10,3013
2021-03-11,3036
2021-03-12,2371
2021-03-13,1734
2021-03-14,1680
2021-03-15,2731
2021-03-16,2822
2021-03-17,2969
2021-03-18,2843
2021-03-19,2352
2021-03-20,1764
2021-03-21,1880
2021-03-22,2675
2021-03-23,3003
2021-03-24,2976
2021-03-25,2752
2021-03-26,2193
2021-03-27,1826
2021-03-28,1858
2021-03-29,2768
2021-03-30,2704
2021-03-31,2935
2021-04-01,2778
2021-04-02,2200
2021-04-03,1721
2021-04-04,1725
2021-04-05,2537
2021-04-06,2886
2021-04-07,2974
2021-04-08,2960
2021-04-09,2563
2021-04-10,1946
2021-04-11,1889
2021-04-12,2952
2021-04-13,3036
2021-04-14,2945
2021-04-15,2984
2021-04-16,2857
2021-04-17,1933
2021-04-18,1872
2021-04-19,3107
2021-04-20,3117
2021-04-21,3186
2021-04-22,3460
2021-04-23,2597
2021-04-24,1729
2021-04-25,1854
2021-04-26,3013
2021-04-27,3162
2021-04-28,3322
2021-04-29,3117
2021-04-30,2111
2021-05-01,1423
2021-05-02,1555
2021-05-03,2400
2021-05-04,2631
2021-05-05,2668
2021-05-06,2727
2021-05-07,2362
2021-05-08,1499
2021-05-09,1539
2021-05-10,2717
2021-05-11,2814
2021-05-12,2748
2021-05-13,2403
2021-05-14,2210
2021-05-15,1554
2021-05-16,1780
2021-05-17,2587
2021-05-18,2787
2021-05-19,2643
2021-05-20,2799
2021-05-21,2369
2021-05-22,1422
2021-05-23,1582
2021-05-24,2395
2021-05-25,2835
2021-05-26,2721
2021-05-27,2676
2021-05-28,1771
2021-05-29,1452
2021-05-30,1504
2021-05-31,1765
2021-06-01,2700
